,Key,jpath
269,organisation,"['work experience', 'name']"
270,company[ 	]*profile,"['work experience', 'name']"
271,company[ 	]*industry,"['work experience', 'name']"
272,company[ 	]*name,"['work experience', 'name']"
273,company[ 	]*name,"['work experience', 'name']"
274,company,"['work experience', 'name']"
275,company[ 	]*duties,"['work experience', 'name']"
276,company[ 	]*profile,"['work experience', 'name']"
277,company[ 	]*role[ 	]*designation,"['work experience', 'name']"
278,company[ 	]*name,"['work experience', 'name']"
279,title,"['work experience', 'title']"
280,designation,"['work experience', 'title']"
281,designation(&|and)[ 	]*role,"['work experience', 'title']"
282,title/designation,"['work experience', 'title']"
283,designation,"['work experience', 'title']"
284,designation,"['work experience', 'title']"
285,present[ 	]*organization,"['work experience', 'title']"
286,true/false,"['work experience', 'current_employer']"
287,location,"['work experience', 'location']"
288,location,"['work experience', 'location']"
289,work[ 	]*locations,"['work experience', 'location']"
290,location,"['work experience', 'location']"
291,short[ 	]*description,"['work experience', 'description']"
292,description,"['work experience', 'description']"
293,description[ 	]*(&|and)[ 	]*responsibilities,"['work experience', 'description']"
294,description,"['work experience', 'description']"
295,descriptions,"['work experience', 'description']"
296,job[ 	]*description,"['work experience', 'description']"
297,job[ 	]*description,"['work experience', 'description']"
298,position[ 	]*held,"['work experience', 'position']"
299,position,"['work experience', 'position']"
300,position,"['work experience', 'position']"
301,joined[ 	]*as,"['work experience', 'position']"
302,company[ 	]*role[ 	]*designation,"['work experience', 'position']"
303,development[ 	]*tools,"['work experience', 'tools/enviroment']"
304,tool[ 	]*data,"['work experience', 'tools/enviroment']"
305,integration[ 	]*tool,"['work experience', 'tools/enviroment']"
306,technology[ 	]*used,"['work experience', 'tools/enviroment']"
307,technology,"['work experience', 'tools/enviroment']"
308,tools[ 	]*(&|and)[ 	]*technology,"['work experience', 'tools/enviroment']"
309,tools/platform,"['work experience', 'tools/enviroment']"
310,tools[ 	]*using,"['work experience', 'tools/enviroment']"
311,technologies[ 	]*used,"['work experience', 'tools/enviroment']"
312,technologies/tools[ 	]*used,"['work experience', 'tools/enviroment']"
313,technologies[ 	]*used,"['work experience', 'tools/enviroment']"
314,solution[ 	]*environment,"['work experience', 'tools/enviroment']"
315,software[ 	]*used,"['work experience', 'tools/enviroment']"
316,os[ 	]*platform,"['work experience', 'tools/enviroment']"
317,operating[ 	]*system,"['work experience', 'tools/enviroment']"
318,technologies,"['work experience', 'tools/enviroment']"
319,environments,"['work experience', 'tools/enviroment']"
320,environment[ 	]*(&|and)[ 	]*tools,"['work experience', 'tools/enviroment']"
321,environment/technology,"['work experience', 'tools/enviroment']"
322,software[ 	]*tools,"['work experience', 'tools/enviroment']"
323,environment,"['work experience', 'tools/enviroment']"
324,tool[ 	]*knowledge,"['work experience', 'tools/enviroment']"
325,tools,"['work experience', 'tools/enviroment']"
326,information[ 	]*links,"['work experience', 'url']"
327,skills,"['work experience', 'skills used']"
328,back-end[ 	]*technique,"['work experience', 'skills used']"
329,skill[ 	]*area,"['work experience', 'skills used']"
330,script[ 	]*/[ 	]*language,"['work experience', 'skills used']"
331,languages,"['work experience', 'skills used']"
332,languages[ 	]*used,"['work experience', 'skills used']"
333,technical[ 	]*platform,"['work experience', 'skills used']"
334,areas[ 	]*of[ 	]*expertise,"['work experience', 'skills used']"
335,skill[ 	]*used,"['work experience', 'skills used']"
336,skill[ 	]*set,"['work experience', 'skills used']"
337,skills[ 	]*set,"['work experience', 'skills used']"
338,skills,"['work experience', 'skills used']"
339,skill[ 	]*set,"['work experience', 'skills used']"
340,skills[ 	]*used,"['work experience', 'skills used']"
341,skills[ 	]*(&|and)[ 	]*tools,"['work experience', 'skills used']"
342,skills,"['work experience', 'skills used']"
343,skill[ 	]*area,"['work experience', 'skills used']"
344,duration,"['work experience', 'duration']"
345,duration,"['work experience', 'duration']"
346,duration[ 	]*of[ 	]*work,"['work experience', 'duration']"
347,duration[ 	]*(&|and)[ 	]*status,"['work experience', 'duration']"
348,duration(months),"['work experience', 'duration']"
349,time[ 	]*period,"['work experience', 'duration']"
350,period,"['work experience', 'duration']"
351,period,"['work experience', 'duration']"
352,joined[ 	]*on,"['work experience', 'startdate']"
353,from,"['work experience', 'startdate']"
354,from,"['work experience', 'startdate']"
355,appear[ 	]*date,"['work experience', 'startdate']"
356,date[ 	]*started,"['work experience', 'startdate']"
357,joined,"['work experience', 'startdate']"
358,start[ 	]*date,"['work experience', 'startdate']"
359,to,"['work experience', 'enddate']"
360,to,"['work experience', 'enddate']"
361,date[ 	]*ended,"['work experience', 'enddate']"
362,end[ 	]*date,"['work experience', 'enddate']"
363,team[ 	]*size,"['work experience', 'teamsize']"
364,team[ 	]*size,"['work experience', 'teamsize']"
365,team[ 	]*size,"['work experience', 'teamsize']"
366,team[ 	]*strength,"['work experience', 'teamsize']"
367,summary[ 	]*of[ 	]*experience,"['work experience', 'summary']"
368,about[ 	]*the[ 	]*project,"['work experience', 'summary']"
369,sub-domain,"['work experience', 'summary']"
370,business[ 	]*details[ 	]*of[ 	]*the[ 	]*client[ 	]*(&|and)[ 	]*project,"['work experience', 'summary']"
371,work[ 	]*summary,"['work experience', 'summary']"
372,key[ 	]*accountabilities,"['work experience', 'summary']"
373,experience,"['work experience', 'summary']"
374,domain,"['work experience', 'summary']"
375,domain[ 	]*knowledge,"['work experience', 'summary']"
376,domain[ 	]*ã¢â‚¬â€œ[ 	]*supplychain,"['work experience', 'summary']"
377,experience(month),"['work experience', 'summary']"
378,key[ 	]*contributions,"['work experience', 'summary']"
379,key[ 	]*deliverables,"['work experience', 'summary']"
380,key[ 	]*responsibility,"['work experience', 'summary']"
381,key[ 	]*responsibilities,"['work experience', 'summary']"
382,brief[ 	]*description,"['work experience', 'summary']"
383,key[ 	]*projects[ 	]*h(&|and)led,"['work experience', 'summary']"
384,key[ 	]*business[ 	]*deliverables,"['work experience', 'summary']"
385,key[ 	]*result[ 	]*areas,"['work experience', 'summary']"
386,experience[ 	]*summary,"['work experience', 'summary']"
387,experience,"['work experience', 'summary']"
388,executive[ 	]*summary,"['work experience', 'summary']"
389,professional[ 	]*summary,"['work experience', 'summary']"
390,professional[ 	]*summary,"['work experience', 'summary']"
391,project[ 	]*summary,"['work experience', 'summary']"
392,job[ 	]*profile,"['work experience', 'summary']"
393,career[ 	]*summary,"['work experience', 'summary']"
394,project[ 	]*highlights,"['work experience', 'summary']"
395,career[ 	]*summary,"['work experience', 'summary']"
396,career[ 	]*summary,"['work experience', 'summary']"
397,responsibilities,"['work experience', 'responsibilities']"
398,job[ 	]*role[ 	]*(&|and)[ 	]*responsibilities,"['work experience', 'responsibilities']"
399,bi[ 	]*skills[ 	]*used/responsibilities,"['work experience', 'responsibilities']"
400,roles[ 	]*(&|and)[ 	]*activities,"['work experience', 'responsibilities']"
401,contribution[ 	]*in[ 	]*project,"['work experience', 'responsibilities']"
402,company[ 	]*duties,"['work experience', 'responsibilities']"
403,responsibilities[ 	]*h(&|and)led,"['work experience', 'responsibilities']"
404,responsibilities,"['work experience', 'responsibilities']"
405,responsibilities[ 	]*(&|and)[ 	]*duties,"['work experience', 'responsibilities']"
406,responsibilities/feature,"['work experience', 'responsibilities']"
407,responsibility,"['work experience', 'responsibilities']"
408,role,"['work experience', 'responsibilities']"
409,duties,"['work experience', 'responsibilities']"
410,roles[ 	]*(&|and)[ 	]*responsibilities,"['work experience', 'responsibilities']"
411,roles,"['work experience', 'responsibilities']"
412,role[ 	]*(&|and)[ 	]*responsibilities,"['work experience', 'responsibilities']"
413,roles[ 	]*(&|and)[ 	]*responsibility,"['work experience', 'responsibilities']"
414,role(&|and)[ 	]*responsibilities,"['work experience', 'responsibilities']"
415,role/responsibility,"['work experience', 'responsibilities']"
416,roles[ 	]*(&|and)[ 	]*responsibilities[ 	]*in[ 	]*the[ 	]*project,"['work experience', 'responsibilities']"
417,roles[ 	]*(&|and)[ 	]*activities,"['work experience', 'responsibilities']"
418,roles[ 	]*(&|and)[ 	]*responsibilities,"['work experience', 'responsibilities']"
